,Actual Sales,Predicted Sales,,,,,,
0,3735.138,4147.2705,,,,,,
1,443.4228,587.0421,,,,,,
2,2097.27,2202.342,,,,,,
3,732.38,1010.9283,,,,,,
4,994.7052,771.11,,,,,,
5,556.6088,550.6374,,,,,,
6,343.5528,805.8774,,,,,,
7,4022.7636,3942.6536,,,,,,
8,1076.5986,1593.2012,,,,,,
9,4710.535,3323.3699,,,,,,
10,1516.0266,728.0168,,,,,,
11,2187.153,2338.49,,,,,,
12,1589.2646,2275.3591,,,,,,
13,2145.2076,2089.6646,,,,,,
14,1977.426,3019.9307,,,,,,
15,1547.3192,885.8359,,,,,,
16,1621.8888,1531.8636,,,,,,
17,718.3982,902.1519,,,,,,
18,2303.668,2789.3882,,,,,,
19,2748.4224,3460.8835,,,,,,
20,3775.086,3888.4949,,,,,,
21,4064.0432,4060.1665,,,,,,
22,1587.2672,2934.7026,,,,,,
23,214.3876,389.96695,,,,,,
24,4078.025,2612.5674,,,,,R2,0.841380897
25,838.908,758.1572,,,,,,
26,1065.28,973.41565,,,,,,
27,308.9312,619.15485,,,,,,
28,178.4344,274.32767,,,,,,
29,125.8362,159.41818,,,,,,
30,163.7868,38.301895,,,,,,
31,2741.7644,1661.8944,,,,,,
32,3068.0064,3552.1108,,,,,,
33,2174.5028,1584.1792,,,,,,
34,2085.2856,2333.923,,,,,,
35,3791.0652,3430.7947,,,,,,
36,2797.6916,3441.7522,,,,,,
37,1609.9044,1606.178,,,,,,
38,388.1614,1114.2463,,,,,,
39,2180.495,2276.8035,,,,,,
40,3435.528,3538.4197,,,,,,
41,2150.534,2254.769,,,,,,
42,2527.3768,2870.3372,,,,,,
43,6768.5228,6318.8496,,,,,,
44,373.5138,1936.0149,,,,,,
45,358.2004,357.4975,,,,,,
46,2428.8384,2622.314,,,,,,
47,5815.0972,5355.2266,,,,,,
48,2576.646,1320.7822,,,,,,
49,780.3176,753.73615,,,,,,
50,3134.5864,3015.3918,,,,,,
51,850.8924,2131.8474,,,,,,
52,810.9444,1824.8472,,,,,,
53,3121.2704,2882.1204,,,,,,
54,4815.0656,2625.3733,,,,,,
55,6258.52,4475.7827,,,,,,
56,2117.244,1740.2074,,,,,,
57,796.9626,841.05743,,,,,,
58,4910.275,4027.837,,,,,,
59,892.172,472.06586,,,,,,
60,3185.1872,3372.7898,,,,,,
61,1062.6168,1121.7786,,,,,,
62,484.7024,1117.9663,,,,,,
63,147.8076,194.09567,,,,,,
64,2543.356,5150.5537,,,,,,
65,184.4266,464.20856,,,,,,
66,4865.6664,3518.8933,,,,,,
67,1118.544,3140.1943,,,,,,
68,2302.3364,2638.8472,,,,,,
69,2027.361,1559.2366,,,,,,
70,3435.528,2656.6091,,,,,,
71,599.22,786.29724,,,,,,
72,4604.6728,2840.7234,,,,,,
73,2285.0256,2747.6746,,,,,,
74,5580.7356,5632.2305,,,,,,
75,2290.352,2107.1082,,,,,,
76,1207.0954,3394.8372,,,,,,
77,643.1628,443.75943,,,,,,
78,1587.933,1523.7753,,,,,,
79,5305.0944,5059.2944,,,,,,
80,1697.79,1723.9095,,,,,,
81,1427.4752,2008.9229,,,,,,
82,4693.89,3034.106,,,,,,
83,583.2408,260.8061,,,,,,
84,3091.9752,3655.1638,,,,,,
85,2479.4392,2694.3896,,,,,,
86,2716.464,2823.7087,,,,,,
87,3285.723,3878.4285,,,,,,
88,661.8052,1374.1449,,,,,,
89,1523.3504,1539.6185,,,,,,
90,369.519,342.1462,,,,,,
91,690.4346,754.0575,,,,,,
92,1381.535,754.2478,,,,,,
93,622.523,1013.8351,,,,,,
94,1274.3412,2022.7603,,,,,,
95,487.3656,309.6608,,,,,,
96,1231.73,2385.3025,,,,,,
97,3755.112,3525.5454,,,,,,
98,4363.6532,3741.2876,,,,,,
99,1314.2892,2514.4087,,,,,,
100,1805.6496,2372.0295,,,,,,
101,2854.9504,4197.1235,,,,,,
102,3896.2616,3927.875,,,,,,
103,667.7974,807.2028,,,,,,
104,3185.853,2887.696,,,,,,
105,2247.7408,2166.4634,,,,,,
106,1794.331,2935.2795,,,,,,
107,2530.7058,2180.9136,,,,,,
108,679.116,753.98206,,,,,,
109,812.276,732.19385,,,,,,
110,699.09,2318.9712,,,,,,
111,2732.4432,1648.3925,,,,,,
112,176.437,377.00992,,,,,,
113,4097.3332,3891.8242,,,,,,
114,3151.8972,3299.342,,,,,,
115,5942.265,4772.885,,,,,,
116,4843.695,3963.9558,,,,,,
117,2542.0244,1994.2356,,,,,,
118,2552.6772,2439.2756,,,,,,
119,1141.847,2890.7798,,,,,,
120,680.4476,760.4903,,,,,,
121,2085.9514,2250.0613,,,,,,
122,186.424,217.28296,,,,,,
123,3036.048,3302.1714,,,,,,
124,866.8716,1093.1224,,,,,,
125,868.869,1523.8354,,,,,,
